t_s,hip_deg,knee_deg,ankle_deg
1.21867,-31.2665,20.4693,-0.170495
1.22258,-31.5166,20.4272,-0.325052
1.22648,-31.7357,20.3564,-0.542957
1.23039,-31.9293,20.2622,-0.771938
1.2343,-32.0958,20.1467,-0.999044
1.2382,-32.2292,20.0069,-1.22907
1.24211,-32.3301,19.8489,-1.45871
1.24601,-32.4055,19.6815,-1.68553
1.24992,-32.4611,19.5158,-1.90526
1.25383,-32.5037,19.3612,-2.12667
1.25773,-32.5381,19.228,-2.35065
1.26164,-32.5668,19.1187,-2.56383
1.26554,-32.5899,19.0267,-2.76761
1.26945,-32.6082,18.9545,-2.95985
1.27336,-32.6223,18.8972,-3.14381
1.27726,-32.6324,18.8533,-3.31828
1.28117,-32.6378,18.815,-3.48992
1.28507,-32.636,18.7844,-3.65732
1.28898,-32.6259,18.7572,-3.82117
1.29289,-32.6087,18.7355,-3.97644
1.29679,-32.5836,18.7156,-4.12469
1.3007,-32.5495,18.6938,-4.26781
1.3046,-32.5085,18.6701,-4.4073
1.30851,-32.4643,18.6447,-4.54479
1.31242,-32.4176,18.6183,-4.67587
1.31632,-32.3674,18.5885,-4.80289
1.32023,-32.3145,18.5572,-4.92702
1.32413,-32.2607,18.5258,-5.04841
1.32804,-32.2083,18.4969,-5.16359
1.33195,-32.1598,18.4684,-5.27601
1.33585,-32.1181,18.4429,-5.385
1.33976,-32.0848,18.4204,-5.49438
1.34366,-32.0603,18.4042,-5.6027
1.34757,-32.0471,18.3977,-5.70877
1.35148,-32.0452,18.4011,-5.81165
1.35538,-32.0507,18.4119,-5.90923
1.35929,-32.0605,18.4286,-6.00589
1.36319,-32.0757,18.4537,-6.10055
1.3671,-32.096,18.4843,-6.19289
1.37101,-32.1176,18.5197,-6.27405
1.37491,-32.1369,18.5536,-6.35174
1.37882,-32.1517,18.5887,-6.42462
1.38272,-32.1602,18.6222,-6.49154
1.38663,-32.1602,18.6548,-6.54993
1.39054,-32.1503,18.6833,-6.60326
1.39444,-32.129,18.707,-6.65014
1.39835,-32.097,18.7276,-6.6892
1.40225,-32.0557,18.7419,-6.723
1.40616,-32.0051,18.7517,-6.75377
1.41007,-31.9446,18.7525,-6.78435
1.41397,-31.8753,18.7485,-6.8067
1.41788,-31.8002,18.7387,-6.82528
1.42178,-31.72,18.7239,-6.84334
1.42569,-31.6346,18.7008,-6.86395
1.4296,-31.5457,18.6701,-6.88715
1.4335,-31.4539,18.634,-6.91073
1.43741,-31.359,18.5907,-6.93376
1.44131,-31.2605,18.5402,-6.952
1.44522,-31.159,18.4832,-6.96462
1.44913,-31.0559,18.4216,-6.97167
1.45303,-30.9516,18.354,-6.97818
1.45694,-30.8438,18.2811,-6.98425
1.46084,-30.7318,18.2007,-6.9882
1.46475,-30.6158,18.1142,-6.98872
1.46866,-30.4958,18.0208,-6.98941
1.47256,-30.3724,17.9222,-6.98883
1.47647,-30.2472,17.8191,-6.98444
1.48037,-30.1219,17.7137,-6.97605
1.48428,-29.9961,17.6066,-6.96197
1.48819,-29.8682,17.4955,-6.94443
1.49209,-29.7383,17.3806,-6.92651
1.496,-29.6064,17.2596,-6.9111
1.4999,-29.4708,17.1306,-6.89785
1.50381,-29.3303,16.9917,-6.88578
1.50772,-29.1872,16.845,-6.87348
1.51162,-29.044,16.6908,-6.86409
1.51553,-28.9001,16.5303,-6.85332
1.51943,-28.7552,16.3649,-6.84388
1.52334,-28.6098,16.1952,-6.84026
1.52725,-28.4638,16.0234,-6.83959
1.53115,-28.3172,15.8481,-6.8402
1.53506,-28.1698,15.6675,-6.84078
1.53896,-28.0217,15.4841,-6.84049
1.54287,-27.873,15.2984,-6.83959
1.54678,-27.7227,15.1106,-6.84197
1.55068,-27.5698,14.9197,-6.85014
1.55459,-27.4147,14.728,-6.8619
1.55849,-27.2592,14.5326,-6.87913
1.5624,-27.1062,14.3398,-6.89521
1.56631,-26.9563,14.1455,-6.91743
1.57021,-26.8067,13.95,-6.9429
1.57412,-26.6548,13.7514,-6.97139
1.57802,-26.4992,13.549,-7.00481
1.58193,-26.3397,13.344,-7.0408
1.58584,-26.1776,13.1343,-7.07987
1.58974,-26.013,12.9232,-7.11574
1.59365,-25.8438,12.7069,-7.1459
1.59755,-25.6697,12.4892,-7.17774
1.60146,-25.4924,12.2686,-7.21602
1.60537,-25.3125,12.0497,-7.2605
1.60927,-25.1292,11.8318,-7.30388
1.61318,-24.9422,11.615,-7.349
1.61708,-24.7523,11.3961,-7.39896
1.62099,-24.5596,11.1734,-7.45276
1.6249,-24.3625,10.9456,-7.50293
1.6288,-24.1593,10.7124,-7.56738
1.63271,-23.9517,10.4754,-7.6394
1.63661,-23.7415,10.2342,-7.71124
1.64052,-23.5315,9.99098,-7.79884
1.64443,-23.3248,9.75216,-7.88637
1.64833,-23.1256,9.52231,-7.97573
1.65224,-22.9353,9.30238,-8.06458
1.65614,-22.7526,9.09136,-8.14689
1.66005,-22.5743,8.88893,-8.21242
1.66396,-22.3968,8.69008,-8.2642
1.66786,-22.2209,8.49839,-8.32307
1.67177,-22.0501,8.31471,-8.39267
1.67567,-21.8847,8.14065,-8.46347
1.67958,-21.7243,7.9724,-8.53023
1.68349,-21.5688,7.81132,-8.59108
1.68739,-21.4164,7.65656,-8.64933
1.6913,-21.2661,7.50789,-8.69897
1.6952,-21.1168,7.36311,-8.74346
1.69911,-20.9674,7.22077,-8.78396
1.70302,-20.8161,7.07856,-8.82149
1.70692,-20.661,6.93347,-8.85352
1.71083,-20.503,6.78521,-8.88402
1.71473,-20.3435,6.63401,-8.91522
1.71864,-20.1852,6.48335,-8.94526
1.72255,-20.0315,6.33237,-8.95602
1.72645,-19.8832,6.18072,-8.96577
1.73036,-19.7381,6.02585,-8.98187
1.73426,-19.5925,5.86296,-8.98478
1.73817,-19.4453,5.68712,-8.96754
1.74208,-19.2955,5.50599,-8.92461
1.74598,-19.141,5.31839,-8.87575
1.74989,-18.9785,5.12141,-8.81673
1.75379,-18.8036,4.90725,-8.73069
1.7577,-18.6125,4.67476,-8.60189
1.76161,-18.4037,4.42664,-8.46058
1.76551,-18.1768,4.15933,-8.31703
1.76942,-17.9333,3.87329,-8.16268
1.77332,-17.677,3.57108,-7.97124
1.77723,-17.4085,3.25516,-7.7507
1.78114,-17.1282,2.92498,-7.51163
1.78504,-16.8393,2.58289,-7.25893
1.78895,-16.5467,2.22082,-6.97951
1.79285,-16.2525,1.84159,-6.67632
1.79676,-15.9562,1.44473,-6.35319
1.80067,-15.6591,1.03072,-6.01326
1.80457,-15.365,0.595897,-5.64032
1.80848,-15.0728,0.142083,-5.24127
1.81238,-14.7759,-0.33363,-4.81664
1.81629,-14.4723,-0.830125,-4.36834
1.8202,-14.1636,-1.34018,-3.86656
1.8241,-13.8503,-1.86214,-3.32983
1.82801,-13.5323,-2.38836,-2.75419
1.83191,-13.2106,-2.91562,-2.14417
1.83582,-12.8885,-3.43933,-1.47286
1.83973,-12.5675,-3.96125,-0.769819
1.84363,-12.2488,-4.47804,-0.0384766
1.84754,-11.9336,-4.98872,0.725959
1.85144,-11.623,-5.49275,1.55596
1.85535,-11.3188,-5.98605,2.44136
1.85926,-11.0217,-6.464,3.37693
1.86316,-10.7304,-6.9298,4.34598
1.86707,-10.4422,-7.38353,5.33138
1.87097,-10.1542,-7.83391,6.34229
1.87488,-9.8551,-8.29137,7.38646
1.87879,-9.53492,-8.76895,8.44638
1.88269,-9.19261,-9.26774,9.48125
1.8866,-8.8275,-9.78721,10.397
1.8905,-8.43626,-10.3342,11.1671
1.89441,-8.02633,-10.9016,11.7946
1.89832,-7.61377,-11.4772,12.2853
1.90222,-7.20857,-12.0568,12.5608
1.90613,-6.82087,-12.6252,12.6983
1.91003,-6.46041,-13.1655,12.7764
1.91394,-6.13615,-13.6532,12.8809
1.91785,-5.8572,-14.0703,13.0153
1.92175,-5.6265,-14.4059,13.1584
1.92566,-5.43707,-14.6459,13.3345
1.92956,-5.28035,-14.7991,13.5348
1.93347,-5.14844,-14.8848,13.668
1.93738,-5.03405,-14.9067,13.7445
1.94128,-4.93021,-14.8662,13.8023
1.94519,-4.83062,-14.7857,13.8469
1.94909,-4.72854,-14.6803,13.8438
1.953,-4.62262,-14.5561,13.8232
1.95691,-4.51459,-14.4131,13.7752
1.96081,-4.40292,-14.2526,13.5951
1.96472,-4.28454,-14.084,13.1438
1.96862,-4.16018,-13.9061,12.6382
1.97253,-4.03391,-13.7169,12.1378
1.97644,-3.90555,-13.5104,11.5263
1.98034,-3.77383,-13.2913,10.6117
1.98425,-3.64145,-13.0606,9.54083
1.98815,-3.51264,-12.8181,8.41633
1.99206,-3.38812,-12.5647,7.31022
1.99597,-3.2685,-12.2958,6.25881
1.99987,-3.15502,-12.0045,5.24678
2.00378,-3.04792,-11.6886,4.25081
2.00768,-2.94548,-11.3479,3.26021
2.01159,-2.84735,-10.9681,2.29369
2.0155,-2.75411,-10.5511,1.35676
2.0194,-2.66533,-10.097,0.46677
2.02331,-2.58085,-9.6052,-0.370549
2.02721,-2.50099,-9.06595,-1.14286
2.03112,-2.42575,-8.48659,-1.85757
2.03503,-2.35501,-7.87134,-2.52285
2.03893,-2.28927,-7.2224,-3.1469
2.04284,-2.23045,-6.53925,-3.73695
2.04674,-2.17915,-5.81452,-4.29219
2.05065,-2.13391,-5.05667,-4.81127
2.05456,-2.09381,-4.27159,-5.30205
2.05846,-2.05915,-3.46167,-5.76872
2.06237,-2.0289,-2.62354,-6.21556
2.06627,-2.00189,-1.7643,-6.64573
2.07018,-1.97831,-0.888256,-7.06273
2.07409,-1.959,0.00170562,-7.46735
2.07799,-1.94347,0.911065,-7.86348
2.0819,-1.93126,1.83474,-8.25078
2.0858,-1.92359,2.7707,-8.63011
2.08971,-1.92381,3.71966,-9.0005
2.09362,-1.933,4.67993,-9.3671
2.09752,-1.95082,5.65757,-9.71551
2.10143,-1.97864,6.6502,-10.0465
2.10533,-2.0204,7.66037,-10.3576
2.10924,-2.0775,8.72054,-10.6179
2.11315,-2.14873,9.78633,-10.8668
2.11705,-2.2347,10.8513,-11.1097
2.12096,-2.33909,11.9315,-11.3289
2.12486,-2.46361,13.0309,-11.518
2.12877,-2.60724,14.1533,-11.6727
2.13268,-2.77079,15.2949,-11.7975
2.13658,-2.95856,16.4598,-11.891
2.14049,-3.17106,17.6478,-11.9542
2.14439,-3.40518,18.8551,-11.9888
2.1483,-3.66153,20.0859,-11.9895
2.15221,-3.94347,21.3403,-11.9605
2.15611,-4.25141,22.616,-11.9105
2.16002,-4.5818,23.9063,-11.8483
2.16392,-4.93447,25.2118,-11.7705
2.16783,-5.31411,26.5341,-11.6791
2.17174,-5.72074,27.8716,-11.5731
2.17564,-6.14899,29.2168,-11.4556
2.17955,-6.59742,30.5667,-11.3289
2.18345,-7.06586,31.9252,-11.1912
2.18736,-7.54947,33.2868,-11.0454
2.19127,-8.042,34.6426,-10.8953
2.19517,-8.54008,35.989,-10.7419
2.19908,-9.04272,37.3266,-10.5845
2.20298,-9.5498,38.6505,-10.4269
2.20689,-10.0595,39.9571,-10.2653
2.2108,-10.5722,41.2452,-10.0987
2.2147,-11.0888,42.5158,-9.92743
2.21861,-11.6092,43.7676,-9.75141
2.22251,-12.1332,44.9987,-9.5704
2.22642,-12.6618,46.2106,-9.38203
2.23033,-13.1989,47.406,-9.18366
2.23423,-13.7448,48.5828,-8.97949
2.23814,-14.295,49.7374,-8.76548
2.24204,-14.8459,50.861,-8.55127
2.24595,-15.39,51.9476,-8.33603
2.24986,-15.9195,52.9892,-8.1193
2.25376,-16.4282,53.9864,-7.88728
2.25767,-16.9097,54.9379,-7.63761
2.26157,-17.3544,55.8313,-7.37232
2.26548,-17.7595,56.6597,-7.09778
2.26939,-18.1301,57.4265,-6.81523
2.27329,-18.4702,58.1359,-6.53281
2.2772,-18.7857,58.7932,-6.25286
2.2811,-19.0838,59.4049,-5.9778
2.28501,-19.3715,59.9744,-5.70395
2.28892,-19.6565,60.5115,-5.42795
2.29282,-19.9468,61.0217,-5.14677
2.29673,-20.251,61.5112,-4.86034
2.30063,-20.5799,61.9882,-4.56941
2.30454,-20.9532,62.4775,-4.22629
2.30845,-21.3807,62.9935,-3.85375
2.31235,-21.8591,63.5232,-3.49318
2.31626,-22.384,64.056,-3.14807
2.32016,-22.9481,64.5675,-2.80723
2.32407,-23.5347,65.037,-2.47495
2.32798,-24.1197,65.4362,-2.14953
2.33188,-24.6865,65.7456,-1.83442
2.33579,-25.2165,65.9318,-1.53882
2.33969,-25.7047,66.0053,-1.26935
2.3436,-26.1598,65.9771,-1.02798
2.34751,-26.5881,65.852,-0.817621
2.35141,-26.9861,65.6102,-0.6495
2.35532,-27.3423,65.2546,-0.524592
2.35922,-27.6429,64.7802,-0.435419
2.36313,-27.8738,64.1784,-0.370296
